Name,AI-Driven,Category,Champion,Description,URL
BricsCAD BIM,Yes,Design Specification,No,"BricsCAD BIM is built on the familiar BricsCAD system, so you can leverage the 2D drafting tools as you ease into 3D workflows at your own pace. Enjoy the flexibility to create simple 3D designs, import or produce BIM for collaborations, or model with accuracy for construction and fabrication. AI-driven: In BricsCAD BIM, design decisions come first, and machine learning algorithms automate the laborious tasks of manipulating BIM data, documentation, and levels of detail.",https://www.bricsys.com/en-eu/bricscad-bim
Magicflow,No,Platform,Yes,"AI Workflows Made Easy. Magicflow is a no-code drag-and-drop tool to build AI workflows that easily integrate into your app. Build and test in minutes, and leave the infrastructure work to us.",https://www.magicflow.ai/
Consigli,Yes,Design Development,Yes,"Designing better buildings for future society. Our ""autonomous engineer"" contributes to a more sustainable real estate industry, using AI and mathematics to optimise design and planning during development.",https://www.consigli.no/
SR Measure,No,Surveying,Yes,The Fastest Way to Measure a Stockpile.,https://srmeasure.com/
SketchPro,Yes,Design Creation,Yes,"SketchPro.ai is an AI tool for creating sketches and renders for architects and interior designers. It offers two modes - the preliminary sketch mode and the detail sketch render mode. The tool has a high creative potential with a 60% generation capacity. Users can access a tutorial to get started, and take a quick tour of the tool's features.",https://sketchpro.ai/
AutoDraw,Yes,Design Creation,Yes,"AutoDraw is a new kind of drawing tool. It pairs machine learning with drawings from talented artists to help everyone create anything visual, fast. There’s nothing to download. Nothing to pay for. And it works anywhere: smartphone, tablet, laptop, desktop, etc. AutoDraw’s suggestion tool uses the same technology used in QuickDraw, to guess what you’re trying to draw. Right now, it can guess hundreds of drawings and we look forward to adding more over time. If you are interested in creating drawings for others to use with AutoDraw, contact us https://www.autodraw.com/artists. We hope AutoDraw will help make drawing and creating a little more accessible and fun for everyone. Built by Dan Motzenbecker and Kyle Phillips with friends at Google Creative Lab.",https://experiments.withgoogle.com/autodraw
dotBIM (.bim),No,Platform,Yes,Minimalistic and simple file format for BIM.,https://dotbim.net/
Kumiko,No,Assistant,No,"Kumiko is an alternative Dynamo Player for Revit. It's collaborative, portable and free.",https://getkumiko.com/
Soma,No,Platform,No,"The OS for the building industry. A digital infrastructure that organizes, connects, and communicates all aspects of our project’s life.",https://soma.cc/
Dreamhouse AI,Yes,Design Creation,No,Quick interior designs for your home space. Get interior design ideas and virtual staging mockups for any space in 35+ styles - powered by AI.,https://dreamhouseai.com/
Proper.ai,Yes,PropTech,No,"Property Management Accounting And Bookkeeping Services. We're a team of property accounting specialists superpowered with the latest automation technology, who provide more cost-effective, efficient, scalable financial services for property.",https://proper.ai/
mindpal,Yes,Assistant,Yes,"Your Personal Repository, Your Second Brain. Dump all your files and chat with them like a second brain.",https://mindpal.space/
Qualifier,No,Data Analysis,Yes,Web-based tool for data-checking BIM models.,https://qualifier.io/
AVVIR,Yes,Construction,No,"Automated risk analysis for construction.
Give your team control with automated schedule tracking, cost and earned value analysis, installation issue detection, and an updated BIM with as-built conditions.",https://www.avvir.io/
Cyvl,Yes,Surveying,No,Streamline Infrastructure Inspections. Maximize safety and efficiency with Cyvl's street view data capture platform and AI-powered GIS asset extraction algorithms.,https://www.cyvl.ai/
Superhuman,Yes,Assistant,Yes,"The Fastest Email Experience Ever Made.
AI-powered email built for high-performing teams.
Get 4 hours back every week.",https://superhuman.com/
Playground,Yes,Design Creation,No,Create and edit images like a pro without being one.,https://playgroundai.com/
Schnackel,Yes,Design Specification,No,"Schnackel Engineers is a world-class MEP firm with an experienced team of Mechanical, Electrical, Plumbing, Fire Protection and IT engineering design experts committed to innovation and exceptional service. Backed by the power of our high-efficiency, https://schnackel.com/about-us/ai-technology/, we lead our clients to the best design solution with incredible accuracy and speed, reducing project risk and driving more successful outcomes.",https://schnackel.com/
DAISY AI,Yes,Structural Design,No,DAISY uses Artificial Intelligence to produce structural timber designs.,https://daisy.ai/
Midjourney,Yes,Design Creation,Yes,Generates images based on your text prompts through the power of AI and machine learning.,https://www.midjourney.com/
Clappfrom,Yes,Data Analysis,No,Data Analytics Platform. Clappform is a flexible cloud-based platform that makes you the data-driven company you strive to be. It enables advanced data analytics using Artificial Intelligence (AI) Machine Learning (ML) and integrates it into your business processes.,https://clappform.com/
Makersite,Yes,Data Analysis,No,50x faster product & supply chain decisions. Source smarter. Design greener. Collaborate faster. Makersite is an award-winning data software company that develops next-generation product data management tools for the global manufacturing industry. The platform is the only cloud-based platform combining data aggregation and live applications for agile product life cycle management.,https://makersite.io/
Birdflocks,No,Platform,Yes,"Birdflocks is a Smart Hub that empowers Architecture, Engineering, and Construction (AEC) professionals to connect, collaborate, and overcome industry challenges efficiently.",https://birdflocks.com/
Deepblocks,Yes,PropTech,Yes,"Data-driven tools for real estate development. Deepblocks streamlines site selection and feasability analysis, pinpointing your ideal development site effortlessly.",https://www.deepblocks.com/
Spline AI,Yes,Design Creation,Yes,"The power of AI is coming to the 3rd dimension. Generate objects, animations, and textures using prompts.",https://spline.design/ai
Aquicore,No,Design Development,No,"Aquicore is an ESG data and analytics platform that empowers real estate to take the actions necessary to achieve net zero carbon. Powered by advanced data science and machine learning algorithms, Aquicore supports the world's largest real estate institutions in obtaining high-quality ESG data, identifying and executing efficiency projects and decarbonization strategies, and achieving energy and emissions reduction targets across a building portfolio.",https://www.aquicore.com/
Corbu,Yes,Design Specification,Yes,"Create your dream home, faster.
Reduce 70% of time spent in the pre-design process. Make it 10X cheaper. 1. Generate Images; 2. Analyze Choices; 3. Iterate Quickly",https://corbu.unicornplatform.page/
Workorder AI,Yes,Data Analysis,No,Cost estimation using image recognition.,https://www.workorder.ai/
Construction IQ,Yes,Construction,No,"https://construction.autodesk.com/tools/construction-iq/ uses machine learning and AI to help project leaders manage and reduce risks in four key areas: cost, schedule, https://constructionblog.autodesk.com/construction-quality-management/ and safety. The solution is available for Autodesk Build and Autodesk BIM Collaborate. 
Whether you're working on design concerns, looking into RFIs, or striving to improve safety, Construction IQ can help you identify and prioritize issues, ensuring you're tackling the right tasks at the right time.",https://construction.autodesk.com/tools/construction-iq/
REVEAL,Yes,Surveying,No,"REVEAL saves contractors time and delivers accurate results by optimizing point cloud cleaning and editing. Working with data collected from drones or laser scanners, REVEAL automatically classifies and removes unwanted elements from data, providing clean, exact data in a fast, simple process leveraging the power of AI. Designed specifically for the industry, REVEAL will get you accurate results faster than ever before.",https://www.agtek.com/reveal-pc.html
Image Computer,Yes,Design Creation,Yes,Use our powerful AI technology to generate any type of image you can think of. In a matter of seconds.,https://image.computer/
StructShare,No,Construction,Yes,"Subcontractors Streamline Purchasing and Inventory with StructShare. Save precious labor hours, stop error-prone manual entry, and control every spend, with the#1 procurement and inventory app for specialty contractors.",https://structshare.com/
Elevait,Yes,Data Analysis,No,The elevait Suite supports organizations to automate administrative processes and business processes.,https://www.elevait.de/
ZipGEN,Yes,Design Specification,Yes,AI-powered software for kitchen design.,https://www.zipgen.com/
LoanSnap,Yes,PropTech,No,We realized people were losing billions of dollars to mortgage lenders that were only focusing on interest rates. The smart loan was created to help people stop losing money and own their financial future. Our smart loan process saved our customers over $80 million last year. What could we save you this year?,https://www.goloansnap.com/
Blackshark.ai | SYNTH3D,Yes,Platform,Yes,"We generate a real-time, accurate, semantic, photorealistic 3D digital twin of the entire planet.
See also: https://www.maxar.com/products/synth3d (3D built for metaverse applications).",https://blackshark.ai/
AI.sthetic,Yes,AEC Hackathon,Yes,"As our hack for the AEC Hackathon 2023 in Copenhagen, SHL Architects and I have joined forces to create AI.sthetics - a tool which analyzes AI generated facades and provides daylight data of the spaces inside. You can find our repository on github. 
Note that this is only the first step in the development of the tool, as it has a large potential for further development, and I plan on posting more about it on LinkedIn.
Learn more on: https://www.linkedin.com/feed/update/urn:li:activity:7038583725986578433?updateEntityUrn=urn%3Ali%3Afs_feedUpdate%3A%28V2%2Curn%3Ali%3Aactivity%3A7038583725986578433%29",https://github.com/SHL-Digital-Practice/ai.sthetic/
Musavir,Yes,Design Creation,Yes,"Musavir.ai stands out as an image generation tool that goes beyond mere image creation by embracing the nuances of different cultures and their visual preferences.
Its Unique Selling Proposition (USP) lies in its ability to understand and adapt to diverse cultural contexts. This localization feature ensures that the images generated are culturally sensitive and resonate with audiences from around the world.
Whether it's the choice of colours, visual elements, or artistic styles, Musavir.ai can adjust its creative output to align with the cultural aesthetics and preferences of the target audience. This adaptability not only makes Musavir.ai a versatile tool for global users but also helps in avoiding unintentional cultural misinterpretations in visual content, a crucial aspect in today's interconnected world.",https://musavir.ai/
mnml.ai,Yes,Design Creation,Yes,Architecture AI Design Assistant. Transform your ideas & sketches to stunning designs using powerful architecture AI tools.,https://mnml.ai/
Spinach.io,Yes,Assistant,No,"Your AI Scrum Master. Spinach gives agile teams instant meeting summaries with decisions, actions, and ticket suggestions.",https://www.spinach.io/
Halio,Yes,Construction,Yes,"HALIO solves the problems of managing daylight indoors by reducing solar heat, minimizing glare, and blocking UV while maximizing daylight and window-to-wall ratio. We develop and manufacture the world’s most advanced electrochromic technology, integrate it into the world’s fastest tinting smart glass windows, control it from a cloud-based intelligence, and connect it to an AI camera that senses the sky. The HALIO Solution enables real-time, autonomous, uniform tinting through shades of cool gray in just three minutes.",https://halioinc.com/
Veras by EvolveLab,Yes,Design Creation,Yes,"AI-powered visualization add-in for Revit, that uses your 3D model geometry as a substrate for creativity and inspiration.",https://www.evolvelab.io/veras
PLANALOGIC,Yes,Design Development,Yes,"Planalogic is a design and decision-making platform, that puts the power of Artificial Intelligence in the hands of property developers and investors.",https://planalogic.com/
SlidesAI,Yes,Platform,No,"Create Presentation Slides with AI in seconds. Say goodbye to tedious, manual slides creation. Let the AI write the outline and presentation content for you. With our tool, you can easily create professional, engaging slides from any text in no time.",https://www.slidesai.io/
4M Analytics,No,Construction,No,"4M Analytics - The ultimate source of utility data. Giving project stakeholders the confidence they need to plan, estimate, design, bid and build infrastructure projects.",https://www.4manalytics.com/
Findable,Yes,Design Specification,Yes,"Be in control of your legally required documentation. Findable is an AI-powered document platform: 1. Automatic sorting of all building documentation, 2. Always up-to-date documentation, 3. Saving you hundreds of hours per building.",https://www.findable.no/en
Galileo AI,Yes,Design Creation,No,Empowering you to design beyond imagination with speed.,https://www.usegalileo.ai/explore
AI Clearing,Yes,Construction,No,"AI-powered construction progress monitoring.
Full digital field construction progress tracking. To decrease re-work cost. To mitigate litigation risk. 100% databased.",https://www.aiclearing.com/
Shapemaker,Yes,Design Development,No,"Your new software for civil engineering design and analysis, starting off with telecommunication infrastructure.",https://www.shapemaker.io/
Circulor,Yes,Data Analysis,No,"Supply Chain Traceability Solutions. It's time to make global supply chains traceable, ethical, and sustainable. Circulor offers the most complete and mature solution in the market.",https://www.circulor.com/
DALL-E 3,Yes,Design Creation,Yes,"DALL-E 3 is a text-to-image model developed by OpenAI using deep learning methodologies to generate digital images from natural language descriptions, called ""prompts"".

When prompted with an idea, ChatGPT will automatically generate tailored, detailed prompts for DALL·E 3 that bring your idea to life. If you like a particular image, but it’s not quite right, you can ask ChatGPT to make tweaks with just a few words.",https://openai.com/dall-e-3
HuggingChat,Yes,Assistant,Yes,The first open source alternative to ChatGPT.,https://huggingface.co/chat/
Speckle LCA,No,AEC Hackathon,No,Speckle LCA is a web app that connects to https://speckle.systems/ and allows for a simple workflow to calculate LCA results for early phase design projects. The app is still in development and support https://www.oneclicklca.com/ as well as https://lcabyg.dk/en/ for now.,https://github.com/linkarkitektur/SpeckleLCA
Snapvid,Yes,Assistant,Yes,"Transform any videos into viral shorts in 30 seconds. AI does the magic, but it's all your style.",https://snapvid.ai/
Preoptima,Yes,Design Development,Yes,"The Carbon Hub for all of your building needs.
A tool that can provide the ability to track both embodied and operational carbon throughout the entire life cycle of a building - from concept to demolition - serving as a ‘Carbon Hub’ for all of your projects.",https://www.preoptima.com/
designtoproduction,No,Design Specification,No,"Providing the missing link: As pioneers of building information modeling, we close the process chain that links a construction idea to its fabrication. For years we have enabled projects of high complexity to take flight and have supported clients, architects, planners and fabricators in reaching new heights of efficiency, safety and quality. Design-to-Production – we master complexity.",https://www.designtoproduction.com/
Uizard,Yes,Design Creation,Yes,"Design stunning mockups, web apps, websites, prototypes, interfaces in minutes. The world's easiest-to-use design and ideation tool - powered by AI. No design experience required!",https://uizard.io/
Plasmo,Yes,Design Creation,No,"Sketch to build 3D products. Plasmo is a 3D design app that automatically turns your sketches into 3D models, and helps you build better products, faster.",https://www.plasmo.ai/
Lepei.ai,Yes,Surveying,Yes,"DL-based service that recognizes 3D and BIM objects from drone photo video or point cloud.
Our unique Deep Learning Neural Networks (DLNN) help Architects, Constructors, Engineers, Manufacturers, and GIS providers to save up to 80% of resources and time at the Scan to BIM stage.
http://lepei.ai/ develops advanced artificial intelligence solutions that help businesses optimize their Scan2BIM and data processing workflows. Our cutting-edge neural networks, Video-to-BIM and Video-to-Data, can process video and photogrammetry data from various sources, including drones, stationary cameras, and wearable devices.
Our Video-to-BIM technology enables us to create high-quality BIM models with LOD 200 accuracy in just 1-2 hours, saving up to 80 percent of resources compared to the traditional Scan2BIM process. We are currently working on improving the model to LOD 400, which will help us create even more detailed and accurate models.
Our Video-to-Data solution enables us to recognize and segment any object in the video, including cars, signs, pedestrians, cracks in buildings, and more, and extract valuable data and insights with big data processing technologies. We can help businesses optimize their operations, improve safety and security, and make data-driven decisions.
We are committed to integrating our solutions seamlessly into our customers' digital ecosystem, making it easy for them to access and use our powerful AI technologies.",https://lepei.ai/
Revit Pure,No,Learning,Yes,Learning Revit made simple.,https://revitpure.com/
inCitu,No,AR/VR/MR,No,"inCitu takes proposed and upcoming development information from private and publicly available sources and transforms the data into a tangible 3D visualization, geofenced in augmented reality to their future build site, in real-world scale. 
inCitu’s visualizations empower residents, developers, and city governments to collaboratively and inclusively shape their communities.",https://www.incitu.us/
Getfloorplan,Yes,PropTech,Yes,"Boost your sales in real estate. Up to 30% calls increase reported by our clients using 2D, 3D floor plans and virtual tours. Upload a floor plan. Getfloorplan creates 2D, 3D floor plans and 360° virtual tours at no time. With our materials your ordinary listing can be turned into a picture of a dream house for your clients.",https://getfloorplan.com/
SiteSolve,Yes,Design Development,No,"Use the SiteSolve software to understand the viability of a site. The simple interface allows you to rapidly to generate, draw, edit and analyse ideas to understand the potential of different strategies.",https://www.site-solve.co.uk/software/
Modulize,No,Data Analysis,No,Unlock the potential of offsite construction with the ultimate takeoff and cost estimation software.,https://www.modulize.com/
Arch Synth,Yes,Design Creation,No,AI for Architecture: Transform Sketches into Stunning Visuals. #1 AI tool for Architects and Designers.,https://www.archsynth.com/
HeyGen,Yes,Assistant,Yes,"NO CAMERA? NO CREW? NO PROBLEM! 
Create videos from text in minutes with AI-generated avatars and voices.",https://www.heygen.com/
Phot.AI,Yes,Design Creation,No,"Bring your creative vision to life with Phot.AI.
Experience the Power of a Complete Image Editing Toolkit, featuring Standalone Solutions for Diverse Business Needs.",https://www.phot.ai/
urban machine,Yes,Robotics,No,"Salvaging the Past to Build the Future. We are on a mission to reclaim the millions of tons of wood waste from construction and demolition by reclaiming it into high volume, locally sourced, premium lumber products.
How?
Meet The Machine. By using AI, The Machine removes staples and nails from reclaimed wood to turn it into premium lumber products. This lowers the carbon footprint and solves the problem of wood waste.",https://urbanmachine.build/
Ideogram,Yes,Design Creation,No,"This is a new image generation model from some of the world’s leading AI experts. This new model generates amazing images and is actually capable of generating legible text within your AI images. It’s been automatically opened to the first 1,000 that join and then it goes to a waitlist. However, they say they’ll be working quickly to let people in from the waitlist.",https://ideogram.ai/
chatSpeckle,Yes,Assistant,No,"Experience the power of AI and Speckle using pandasai, OpenAI, specklepy and streamlit. This feature was built on top of a previous web app created in a speckle video tutorial called ""Create Schedule from Revit Data"", which you can follow as well. Otherwise, you can just download/clone this repository, run streamlit, add your own OpenAI key and write queries to chatSpeckle.",https://github.com/oswaldohb/chatSpeckle-ai
Topologic,Yes,Platform,No,"Topologic is a hierarchical and topological modelling and spatial analysis library for architecture, engineering, and construction. Take a look at: https://pypi.org/project/topologicpy/#description

Topologic is a software modelling library enabling hierarchical and topological representations of architectural spaces, buildings and artefacts through non-manifold topology (NMT). Topologic is designed as a core library and additional plugins to visual data flow programming (VDFP) applications and parametric modelling platforms commonly used in architectural design practice. These applications provide workspaces with visual programming nodes and connections for architects to interact with Topologic and perform architectural design and analysis tasks.

Topologic is well-suited to create a lightweight representation of a building as an external envelope and the subdivision of the enclosed space into separate spaces and zones using zero-thickness internal surfaces. Because Topologic maintains topological consistency, a user can query these cellular spaces and surfaces regarding their topological data and thus conduct various analyses. For example, this lightweight and consistent representation was found to be well-matched with the input data requirements for energy analysis simulation software. Because Topologic allows entities with mixed dimensionalities and those that are optionally independent (e.g. a line, a surface, a volume) to co-exist, structural models can be represented in a coherent manner where lines can represent columns and beams, surfaces can represent walls and slabs, and volumes can represent solids. In addition, non-building entities, such as structural loads can be efficiently attached to the structure. This creates a lightweight model that is well-matched with the input data requirements for structural analysis simulation software.",https://topologic.app/
Textify (by Storia),Yes,Design Creation,No,Textify is a tool for replacing the gibberish in AI-generated images with your desired text.,https://textify.storia.ai/
Reconstruct,Yes,Data Analysis,No,"Reconstruct brings the project site to decision-makes.
Reconstruct is the leader in remote quality control, progress monitoring, and facilities assessment. Our cutting-edge reality mapping technology empowers you to manage projects remotely, mitigate risk, save time and money, and make better decisions—all while slashing travel to the job site.",https://reconstructinc.com/
Spacemaker AI,Yes,Design Development,Yes,"Spacemaker is an intuitive, collaborative, cloud-based AI software that empowers architects, urban planners and real estate developers to design high-quality site proposals.",https://www.spacemakerai.com/
Open Assistant,Yes,Assistant,Yes,"Open Assistant. Conversational AI for everyone. We believe we can create a revolution. In the same way that Stable Diffusion helped the world make art and images in new ways, we want to improve the world by providing amazing conversational AI.",https://open-assistant.io/
PassiveLogic,Yes,Design Specification,No,"PassiveLogic is the first fully autonomous platform for buildings. The built world is full of many different types of systems, all trying to independently operate, often with no context of the interconnected reality. PassiveLogic solves this puzzle to integrate any combination of processes - for coordinated, seamless control across all systems.",https://passivelogic.com/
Neverwaste,No,Construction,Yes,"The world’s first high performance panel board made entirely from waste
Neverwaste™ is a patented material made entirely from vast quantities of waste cardboard and packaging that would otherwise be burned or landfilled. By refining and modifying the fibres of manmade cardboard derived from virgin and recycled timber, Neverwaste™ avoids the use of glues, resins or toxic chemicals in the production of a healthy, premium-specification material for use in construction, furniture, kitchens and flooring.",https://neverwaste.world/
Imagine 3D (by Luma AI),Yes,Design Creation,No,An early experiment to prototype and create 3D with text. Access to generation is gradually expanding to everyone on the waitlist.,https://captures.lumalabs.ai/imagine
Orbital Witness,No,PropTech,No,Instant property insight. Liberation for everyone involved in property transactions.,https://www.orbitalwitness.com/
snaploader,No,Platform,Yes,"Interactive 3D experiences that drive sales & engagement:
• Engage and transact with buyers before development, or sell & lease existing property.
• Sell & market your real estate globally, 24/7 with a 3D model viewable on all devices.
• Enhance government engagement & customer experience with rich 3D experiences.",https://www.snaploader.com/
BlenderBIM Add-on,No,Design Specification,Yes,"Free, open source, native IFC authoring platform.",https://blenderbim.org/
ChooseWise,No,AEC Hackathon,Yes,"ChooseWise is an app to support decision makers who need to choose if it's better to renovate, rebuild or demolish. It currently takes into account LCA, cost, and time. See also: https://slides.com/arturtomczak/choosewise/fullscreen",https://github.com/sverremh/AEC23_ChooseWise
Nomoko,No,PropTech,Yes,"Digital Twins of the real world. Supercharging urban and real estate development, turning spatial data into real world opportunities.",https://nomoko.world/
Dimensions.com,No,Platform,Yes,"Dimensions.com is an ongoing reference database of dimensioned drawings documenting the standard measurements and sizes of the everyday objects and spaces that make up our world. Created as a universal resource to better communicate the basic properties, systems, and logics of our built environment, Dimensions.com is a global platform for increasing public and professional knowledge of life and design.",https://www.dimensions.com/
3Dpresso,Yes,Design Creation,Yes,3Dpresso can extract the 3D model of your object from a 1-minute video.,https://3dpresso.ai/
Morph Studio,Yes,Design Creation,No,"With our Text-to-Video AI Magic, manifest your creativity through your prompt!",https://www.morphstudio.com/
Glarity,Yes,Assistant,No,"Glarity Summary: an open-source ChatGPT Summary extension for YouTube, Google, Twitter, and any webpage. It provides cross-language summaries to effortlessly summarize videos, searches, PDFs, emails, and webpages. It supports free side-by-side translations, email writing assistance, Web Content Q&A, and much more…",https://glarity.app/
Remini,Yes,Design Creation,Yes,The only photo and video enhancer you'll ever need. Transformative technology gives your low-quality visuals a stunning HD upgrade. Restore old photos to incredible detail and elevate your content to a professional level.,https://remini.ai/
Klu,Yes,Platform,Yes,"Get work done 10x faster 🚀. Klu brings all your work apps together to help you work faster and smarter. Effortlessly connect your favorite apps with Klu, search, ask questions, and chat with your data.",https://klu.so/
AirWorks,Yes,Surveying,No,"Airworks autonomously identifies and classifies aerial data, and generates planimetric and topographic basemaps (as CAD files). AirWorks quickly produces linework you can trust. Reduce risks, gain efficiencies and win more bids.",https://airworks.io/
Versatile,Yes,Construction,Yes,"Versatile hardware + software solution. Hard data. For easier decision making. Versatile is a non-intrusive solution for collecting valuable job site production data that can help demobilize cranes earlier, avoid unnecessary overtime, and track and measure site productivity to get the most out of each and every crane pick. Throughout the construction process, you’ll receive daily reports generated from thousands of data points within the pick cycle, so you can make more informed decisions to positively impact safety, construction scheduling, task efficiency, and more. It’s the ultimate tool to get ahead and stay ahead on every project.",https://www.versatile.ai/
eesel,Yes,Assistant,Yes,"ChatGPT over your company knowledge.
Connect your knowledge with ChatGPT and build an oracle that can instantly answer any question. Add it to your internal Slack, Microsoft Teams or as a website widget.",https://www.eesel.ai/
Jeda,Yes,Platform,No,"World's first, all-in-one. AI Workspace for Instant Productivity. Unleash the ""beast"" of productivity with Jeda AI Workspace Canvas. Collaborate in real-time, create stunning visual content, and boost your business strategy. Say hello to success!",https://www.jeda.ai/
Measurable Energy,Yes,Data Analysis,No,Eliminating Wasted Energy in Buildings. Prevent CO2 emissions. Reduce electricity bills by at least 20%. We help you reach Net Zero. We combine our unique smart sockets with machine learning to reduce greenhouse gas (GHG) emissions and energy costs. Our technology changes user behaviour and eliminates Small Power waste.,https://measurable.energy/
Metascan,No,AR/VR/MR,Yes,"Metascan is a powerful all-in-one 3D capture tool. Create photorealistic 3D models of objects from photos, or walk around and quickly capture spaces using LiDAR. Edit your scans, then share them to the web, via Messages, or in VR. Take scale-accurate measurements with the measure tool, or customize and export a video of your scan. Metascan Pro (available via in-app purchase) adds mesh and point cloud export for popular 3D file formats, gives you 150 Photo Mode captures per month, and unlocks the highest detail LiDAR reconstructions.",https://apps.apple.com/us/app/metascan-3d-capture/id1472387724
ReRender AI,Yes,Design Creation,No,"Photorealistic Renders for Architecture Design. Upload a picture of your project, discover 20+ unique design styles, and enjoy photorealistic renders in just seconds!",https://rerenderai.com/
Omrt,Yes,PropTech,Yes,The design platform for real estate development. A software that uses machine learning algorithms to automate the process of creating architectural designs.,https://www.omrt.tech/
Spaceti,No,PropTech,Yes,"Holistic Building Experience Platform For Real Estate Managers.
• Make data-driven decisions to improve operational efficiency
• Create a hybrid, flexible, and sustainable built environment
• Drive customer value and enhance building user experience",https://www.spaceti.com/
Circleback,Yes,Assistant,Yes,Never take meeting notes again. AI-written action items and meeting notes you can trust.,https://circleback.ai/
Remodel AI,Yes,Design Creation,No,"Remodel Interior & Exterior with AI. With remodel ai, you can remodel room interiors and home exterior in less than 30 seconds, first 5 designs are free.",https://remodelai.co/
Archilyse Auto-Annotation,Yes,Data Analysis,No,"• Automatically annotate elements of floor plans
• Identify region of interest on the documents
• Basic analysis of element footprint distribution",https://auto.archilyse.com/
Document Crunch,Yes,Assistant,Yes,"Simplifying contracts for the construction industry. 
Document Crunch’s AI-assisted software platform is your Contract CoPilot™ for quickly identifying critical risk provisions in your construction contracts and provides teams with guidance to make great decisions throughout the entire project lifecycle.",https://www.documentcrunch.com/
SkyBuild AI,Yes,Data Analysis,No,"Construction Building Project Documents Ingested & Decoded In Minutes
Win Projects Smarter with SkyBuild AI. Safe, Smart, and Sustainable.
•  Analyze your construction drawings with our Structural Engineering AI Assistant.
•  Receive Productivity Insights, Make Faster Decisions, Have Smarter Outcomes.
•  Takes minutes, instead of hours. Sent straight to your email.",https://skybuild.ai/
Interior Computer,Yes,Design Creation,No,Use artificial intelligence to design your dream home. In a matter of seconds.,https://image.computer/interior-design
Clockk,Yes,Assistant,Yes,Imagine Knowing Exactly What you Did This Week. No more timers. Never miss a minute of your day with AI-powered time tracking.,https://clockk.com/
Josh,Yes,PropTech,Yes,"JOSH WAS BORN out of the idea that your home should inspire, embolden, and delight you and the people around you. By utilizing advanced AI technologies, including natural interfaces like voice and touch, Josh orchestrates the technology in all aspects of your home to deliver an exciting and effortless living experience.",https://www.josh.ai/
runway,Yes,Design Creation,No,"Dozens of AI-powered creative tools to help you ideate, generate and edit content like never before. With new tools being added every week.",https://runwayml.com/
Seve-Up,No,Data Analysis,No,SeveUp App allows you to improve your BIM process with data visualization and business intelligence.,https://www.seve-up.com/
Masterpiece X,Yes,Design Creation,Yes,"Generative 3D Creation with AI. The first generative AI text-to-3D app to enable the creation of assets with mesh, textures, and animations. Rapidly explore creating & evolving your ideas in 3D - all with just a few words!",https://www.masterpiecex.com/
Karamba3D,No,Structural Design,Yes,"Karamba3D is an interactive, parametric engineering tool that allows you to perform quick and accurate Finite Element Analysis (FEA). It has been specially tailored to the needs of design professionals in the early design phases.",https://karamba3d.com/
Scribble Diffusion (SketchAI),Yes,Design Creation,Yes,Turn your sketch into a refined image using AI. See also: https://play.google.com/store/apps/details?id=com.hailostudio.scribbleaiartgenerate&hl=en_US,https://scribblediffusion.com/
guidde,Yes,Assistant,Yes,guidde is the generative AI platform for business that helps your team create video documentation 11x faster.,https://www.guidde.com/
EarthCam,Yes,Construction,No,"https://construction.autodesk.com/workflows/construction-software-integrations/earthcam/ is a leading provider of live camera technology, content, and services. Construction teams use EarthCam to monitor and document their projects. From webcam content and live streaming video to epic construction time-lapse, EarthCam provides comprehensive ecosystem of visual data solutions to enhance project management and promote transparency. 
EarthCam also uses state-of-the-art, server-side AI and Edge Computer Vision, which surpasses the ability of human observers. The company uses AI Object Detection to automate alerts, tags, and visualizations. This means teams can spend less time manually observing projects, and more energy taking action.",https://construction.autodesk.com/workflows/construction-software-integrations/earthcam/
Powerbim,Yes,Platform,No,"A digitaltwin platform for Energy, Construction, Maintenance, Operations, Sustainability, Life Cycle performance based in BIM and DATA.
We automate asset data analytics and processes using digital models, a digitaltwin ecosystem to get smarter and more efficient buildings and infrastructures connected.",https://powerbim.io/
SeamlessM4T,Yes,Assistant,No,"Meta has unveiled Seamless M4T, a new AI translation model that can near-instantly translate spoken or written text between supported languages. For example, users can speak in English and have the audio translated and read aloud in Japanese, Spanish, or other languages in almost real-time, enabling seamless communication across languages.
https://github.com/facebookresearch/seamless_communication is designed to provide high-quality translation, allowing people from different linguistic communities to communicate effortlessly through speech and text. This unified model enables multiple tasks like Speech-to-Speech (S2ST), Speech-to-Text (S2TT), Text-to-Speech (T2ST) translation and more, without relying on multiple separate models.",https://huggingface.co/spaces/facebook/seamless_m4t
PromeAI,Yes,Design Creation,No,"Bring Creativity into Life - PromeAI. Looking for an AI-powered design assistant that can help bring your creative ideas to life? Look no further than PromeAI! Create stunning designs with our extensive controllable AIGC (C-AIGC) model style library. Whether you're architects, interior designers, product designers, or game animation designers, PromeAI has everything you need to take your work to the next level.",https://www.promeai.com/
Giraffe,No,Design Development,No,The platform for urban analytics.,https://www.giraffe.build/
iRhino 3D,No,AR/VR/MR,Yes,"The official Rhino 3dm viewer for iOS. View and present your work on your iPhone or iPad. Rewritten from the ground up, the new iRhino 3D performs and feels exactly like Rhino. Pan, zoom, and orbit with a tap or drag of your finger. Conveniently load models from your device or any cloud storage using a built-in file browser. Use the AR mode to see your model in space. Integrated markup tool lets you draw on top of a view.",https://apps.apple.com/us/app/irhino-3d/id373666504
